,Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Western Conference,Conference,year
11,,27,55,0.329,34.0,93.1,98.7,-5.83,Sacramento Kings,Sacramento Kings,1998
12,,19,63,0.232,42.0,88.3,97.4,-9.2,Golden State Warriors,Golden State Warriors,1998
13,,17,65,0.207,44.0,95.9,103.3,-7.53,Los Angeles Clippers,Los Angeles Clippers,1998
0,Miami Heat*,33,17,0.66,—,89.0,84.0,5.11,,Miami Heat*,1999
1,Orlando Magic*,33,17,0.66,—,89.5,86.9,3.11,,Orlando Magic*,1999
2,Philadelphia 76ers*,28,22,0.56,5.0,89.7,87.6,2.56,,Philadelphia 76ers*,1999
3,New York Knicks*,27,23,0.54,6.0,86.4,85.4,1.45,,New York Knicks*,1999
4,Boston Celtics,19,31,0.38,14.0,93.0,94.9,-1.75,,Boston Celtics,1999
5,Washington Wizards,18,32,0.36,15.0,91.2,93.4,-1.75,,Washington Wizards,1999
6,New Jersey Nets,16,34,0.32,17.0,91.4,95.2,-3.2,,New Jersey Nets,1999
7,Indiana Pacers*,33,17,0.66,—,94.7,90.9,3.86,,Indiana Pacers*,1999
8,Atlanta Hawks*,31,19,0.62,2.0,86.3,83.4,2.82,,Atlanta Hawks*,1999
9,Detroit Pistons*,29,21,0.58,4.0,90.4,86.9,3.97,,Detroit Pistons*,1999
10,Milwaukee Bucks*,28,22,0.56,5.0,91.7,90.0,1.66,,Milwaukee Bucks*,1999
11,Charlotte Hornets,26,24,0.52,7.0,92.9,93.0,0.63,,Charlotte Hornets,1999
12,Toronto Raptors,23,27,0.46,10.0,91.1,92.8,-1.32,,Toronto Raptors,1999
13,Cleveland Cavaliers,22,28,0.44,11.0,86.4,88.2,-0.94,,Cleveland Cavaliers,1999
14,Chicago Bulls,13,37,0.26,20.0,81.9,91.4,-8.58,,Chicago Bulls,1999
0,,37,13,0.74,—,92.8,84.7,7.12,San Antonio Spurs*,San Antonio Spurs*,1999
1,,37,13,0.74,—,93.3,86.8,5.54,Utah Jazz*,Utah Jazz*,1999
2,,31,19,0.62,6.0,94.2,91.9,1.39,Houston Rockets*,Houston Rockets*,1999
3,,25,25,0.5,12.0,92.9,92.6,-0.17,Minnesota Timberwolves*,Minnesota Timberwolves*,1999
4,,19,31,0.38,18.0,91.6,94.0,-2.5,Dallas Mavericks,Dallas Mavericks,1999
5,,14,36,0.28,23.0,93.5,100.1,-6.67,Denver Nuggets,Denver Nuggets,1999
6,,8,42,0.16,29.0,88.9,97.5,-8.94,Vancouver Grizzlies,Vancouver Grizzlies,1999
7,,35,15,0.7,—,94.8,88.5,5.67,Portland Trail Blazers*,Portland Trail Blazers*,1999
8,,31,19,0.62,4.0,99.0,96.0,2.68,Los Angeles Lakers*,Los Angeles Lakers*,1999
9,,27,23,0.54,8.0,95.6,93.3,2.15,Phoenix Suns*,Phoenix Suns*,1999
10,,27,23,0.54,8.0,100.2,100.6,-0.89,Sacramento Kings*,Sacramento Kings*,1999
11,,25,25,0.5,10.0,94.9,95.9,-1.43,Seattle SuperSonics,Seattle SuperSonics,1999
12,,21,29,0.42,14.0,88.3,90.8,-2.63,Golden State Warriors,Golden State Warriors,1999
13,,9,41,0.18,26.0,90.4,99.2,-8.94,Los Angeles Clippers,Los Angeles Clippers,1999
0,Miami Heat*,52,30,0.634,—,94.4,91.3,2.75,,Miami Heat*,2000
1,New York Knicks*,50,32,0.61,2.0,92.1,90.7,1.3,,New York Knicks*,2000
